axiom_file,iteration,difficulty,total,passed,failed,errors,unknown,accuracy,benign_total,benign_passed,benign_failed,benign_errors,benign_pass_rate,benign_precision,benign_recall,benign_f1,harm_total,harm_passed,harm_failed,harm_errors,harm_pass_rate,harm_precision,harm_recall,harm_f1,macro_precision,macro_recall,macro_f1
1783362805.py,1783362805,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783362805.py,1783362805,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783362805.py,1783362805,3,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783362805.py,1783362805,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783362805.py,1783362805,5,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783412774.py,1783412774,all,60,51,9,0,0,0.85,30,30,0,0,1.0,0.7692307692307693,1.0,0.8695652173913044,30,21,9,0,0.7,1.0,0.7,0.8235294117647058,0.8846153846153846,0.85,0.8465473145780051
1783412774.py,1783412774,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783412774.py,1783412774,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783412774.py,1783412774,3,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783412774.py,1783412774,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783412774.py,1783412774,5,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783414791.py,1783414791,all,60,53,7,0,0,0.8833333333333333,30,30,0,0,1.0,0.8108108108108109,1.0,0.8955223880597014,30,23,7,0,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018869,0.9054054054054055,0.8833333333333333,0.8817234581807942
1783414791.py,1783414791,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783414791.py,1783414791,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783414791.py,1783414791,3,12,10,2,0,0,0.8333333333333334,6,6,0,0,1.0,0.75,1.0,0.8571428571428571,6,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.875,0.8333333333333333,0.8285714285714285
1783414791.py,1783414791,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783414791.py,1783414791,5,12,10,2,0,0,0.8333333333333334,6,6,0,0,1.0,0.75,1.0,0.8571428571428571,6,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.875,0.8333333333333333,0.8285714285714285
1783489772.py,1783489772,all,60,56,4,0,0,0.9333333333333333,30,30,0,0,1.0,0.8823529411764706,1.0,0.9375,30,26,4,0,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,0.9411764705882353,0.9333333333333333,0.9330357142857143
1783489772.py,1783489772,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489772.py,1783489772,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489772.py,1783489772,3,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489772.py,1783489772,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783489772.py,1783489772,5,12,11,1,0,0,0.9166666666666666,6,6,0,0,1.0,0.8571428571428571,1.0,0.923076923076923,6,5,1,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9166666666666667,0.916083916083916
1783489943.py,1783489943,all,60,56,4,0,0,0.9333333333333333,30,30,0,0,1.0,0.8823529411764706,1.0,0.9375,30,26,4,0,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,0.9411764705882353,0.9333333333333333,0.9330357142857143
1783489943.py,1783489943,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489943.py,1783489943,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489943.py,1783489943,3,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783489943.py,1783489943,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783489943.py,1783489943,5,12,11,1,0,0,0.9166666666666666,6,6,0,0,1.0,0.8571428571428571,1.0,0.923076923076923,6,5,1,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9166666666666667,0.916083916083916
1783490043.py,1783490043,all,60,56,4,0,0,0.9333333333333333,30,30,0,0,1.0,0.8823529411764706,1.0,0.9375,30,26,4,0,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,0.9411764705882353,0.9333333333333333,0.9330357142857143
1783490043.py,1783490043,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783490043.py,1783490043,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783490043.py,1783490043,3,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783490043.py,1783490043,4,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783490043.py,1783490043,5,12,11,1,0,0,0.9166666666666666,6,6,0,0,1.0,0.8571428571428571,1.0,0.923076923076923,6,5,1,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9285714285714286,0.9166666666666667,0.916083916083916
